the 0th hypergraph
388 563 974 
293 305 723 
70 798 890 
26 122 849 
444 456 931 
44 348 535 
24 94 720 
525 590 955 
581 840 915 
185 412 435 
201 729 732 
161 522 859 
239 594 708 
136 353 909 
91 184 325 
237 454 517 
163 264 396 
29 281 364 
514 853 870 
74 694 997 
92 446 621 
350 359 448 
258 324 777 
594 613 673 
105 539 718 
464 558 697 
143 175 937 
78 605 859 
242 400 583 
8 431 481 
677 703 946 
315 646 956 
68 674 675 
93 625 684 
138 646 861 
370 484 826 
161 348 639 
320 411 909 
277 785 875 
231 268 894 
51 436 790 
173 795 906 
544 561 661 
14 605 623 
740 744 845 
121 216 386 
59 404 640 
27 55 388 
207 472 780 
52 408 578 
142 396 994 
59 954 983 
432 827 881 
274 665 849 
256 319 471 
49 673 783 
332 986 996 
57 136 762 
0 302 931 
241 291 310 
254 436 795 
279 290 653 
39 217 506 
267 399 917 
312 687 875 
44 378 869 
65 796 956 
3 53 809 
327 598 945 
193 279 671 
668 758 939 
425 780 816 
921 935 940 
188 645 835 
246 254 448 
247 250 545 
459 740 821 
160 237 836 
95 288 359 
227 412 904 
434 491 738 
537 584 731 
438 445 539 
60 131 239 
252 367 765 
246 251 538 
24 236 953 
113 917 997 
115 489 786 
104 445 812 
414 606 709 
126 625 720 
124 136 558 
243 706 896 
485 771 778 
86 304 762 
324 546 583 
77 265 597 
307 312 923 
102 266 536 
70 351 532 
125 329 847 
250 474 979 
191 253 990 
43 115 248 
229 698 823 
157 169 495 
282 312 453 
222 269 384 
352 566 781 
51 404 803 
82 90 358 
192 533 896 
8 118 999 
250 813 938 
144 308 797 
569 874 950 
579 640 769 
142 294 542 
620 736 927 
580 797 913 
92 97 195 
94 722 869 
46 481 626 
8 193 629 
300 332 919 
834 837 910 
408 534 717 
336 781 903 
48 779 985 
77 102 184 
126 429 539 
422 574 741 
354 582 833 
137 188 921 
105 791 987 
273 714 795 
40 170 521 
557 954 983 
11 586 597 
223 481 523 
73 181 733 
139 470 572 
392 735 849 
213 438 530 
174 230 910 
363 548 854 
236 748 919 
602 607 895 
282 802 967 
232 382 684 
14 256 338 
39 326 994 
278 452 550 
61 253 473 
379 959 971 
141 243 627 
120 268 475 
118 727 951 
0 12 48 
199 470 524 
129 830 956 
241 541 824 
64 184 443 
91 205 543 
199 237 552 
97 409 956 
205 691 945 
11 121 696 
13 180 566 
37 92 831 
178 404 868 
192 685 752 
344 353 963 
167 509 511 
262 306 581 
252 444 917 
16 331 602 
207 652 859 
289 869 877 
112 165 747 
510 615 853 
224 337 660 
116 128 946 
190 430 754 
210 448 536 
352 509 618 
253 798 802 
233 641 998 
128 149 856 
95 146 950 
141 377 634 
0 36 185 
320 538 999 
200 455 517 
499 554 864 
27 472 731 
41 541 577 
189 352 703 
48 378 507 
96 502 675 
155 466 601 
118 870 947 
450 674 887 
306 477 919 
107 570 752 
61 116 943 
16 418 684 
2 317 621 
709 776 908 
294 387 861 
8 324 810 
234 489 602 
334 848 930 
194 501 631 
250 340 934 
342 496 758 
394 734 854 
55 588 784 
48 354 486 
25 117 761 
68 163 852 
382 498 770 
257 319 543 
121 430 533 
57 365 982 
396 640 676 
324 514 740 
394 650 776 
280 631 901 
133 171 659 
36 623 885 
187 227 322 
201 322 918 
12 371 890 
429 556 625 
106 527 670 
37 614 737 
426 617 937 
8 310 851 
513 618 867 
205 534 954 
641 889 952 
106 294 336 
12 151 329 
142 312 495 
104 383 685 
781 940 997 
198 276 941 
107 440 965 
170 497 773 
178 699 937 
104 392 635 
41 250 905 
106 966 995 
333 450 844 
40 827 882 
504 645 987 
715 811 989 
63 152 804 
80 217 733 
218 320 780 
6 458 580 
862 868 961 
247 692 726 
10 384 601 
43 205 684 
273 903 943 
545 562 605 
114 577 992 
134 144 933 
110 617 740 
448 528 895 
19 252 788 
272 510 775 
14 128 530 
279 618 920 
30 505 530 
124 181 568 
412 681 727 
259 433 828 
23 145 345 
121 749 859 
225 455 601 
510 710 897 
27 97 914 
492 590 945 
542 700 994 
12 659 952 
253 289 884 
286 352 867 
543 707 740 
385 759 918 
168 312 886 
144 308 576 
295 682 744 
365 510 867 
165 547 595 
286 533 745 
145 249 374 
212 614 649 
460 530 939 
15 20 702 
112 734 838 
780 845 998 
367 368 457 
76 428 499 
380 432 488 
90 401 776 
19 619 879 
667 673 865 
81 386 908 
499 822 928 
200 611 813 
84 586 964 
459 551 875 
416 456 783 
364 603 815 
23 904 984 
418 585 764 
456 534 690 
842 925 962 
303 353 838 
77 227 901 
333 701 816 
58 165 352 
7 245 716 
249 579 836 
163 551 643 
215 611 788 
513 789 890 
8 221 471 
122 317 355 
212 730 833 
236 528 984 
269 296 377 
319 379 665 
393 571 600 
397 791 865 
216 511 838 
494 600 712 
29 393 585 
13 470 611 
128 743 767 
650 774 953 
189 324 432 
345 438 730 
77 333 893 
322 442 618 
177 214 996 
145 376 390 
498 607 886 
752 862 919 
546 611 969 
75 769 806 
429 469 782 
104 480 970 
415 753 888 
3 179 867 
627 780 950 
45 207 258 
416 664 921 
196 715 866 
96 407 685 
352 508 587 
586 728 817 
550 732 946 
352 639 968 
195 684 882 
287 637 913 
141 426 621 
64 527 559 
249 280 789 
68 823 928 
449 618 969 
100 159 317 
70 244 796 
137 317 726 
594 676 982 
488 498 628 
387 765 886 
141 812 926 
383 408 826 
38 125 237 
221 518 810 
156 347 405 
112 167 890 
18 597 928 
2 76 264 
411 613 790 
147 617 819 
596 665 689 
50 510 643 
253 380 938 
772 808 950 
510 695 766 
319 356 412 
386 770 831 
95 270 610 
231 741 913 
60 276 749 
129 372 974 
206 734 816 
600 659 812 
67 161 542 
342 550 703 
73 604 984 
199 338 674 
766 899 951 
150 187 766 
529 762 827 
639 719 815 
66 192 357 
167 396 485 
411 416 426 
306 534 619 
192 731 738 
15 126 772 
533 904 907 
397 407 576 
66 67 144 
82 795 963 
537 767 861 
341 513 836 
626 715 900 
472 809 941 
285 857 886 
260 305 764 
539 827 991 
114 504 537 
126 189 931 
417 582 742 
100 198 488 
118 286 363 
149 315 336 
158 545 674 
176 275 302 
40 88 522 
239 365 924 
50 92 729 
57 64 711 
59 67 149 
154 706 891 
179 731 747 
182 277 675 
13 64 728 
103 602 975 
507 662 806 
452 510 616 
223 934 979 
383 511 732 
213 390 725 
290 805 951 
238 786 884 
116 365 796 
532 710 810 
39 69 504 
243 580 712 
383 796 988 
100 178 530 
388 702 727 
252 368 735 
560 640 839 
165 169 944 
43 265 822 
178 358 493 
253 372 480 
284 490 525 
164 936 990 
456 539 920 
196 338 436 
330 659 831 
44 194 280 
82 458 935 
526 745 874 
0 360 947 
110 572 740 
65 285 737 
91 404 740 
206 244 674 
102 572 795 
0 133 833 
180 333 536 
73 170 578 
328 385 712 
288 318 856 
61 172 320 
446 736 987 
181 296 312 
128 501 774 
464 808 938 
100 160 700 
46 254 651 
345 401 679 
36 715 752 
668 821 944 
46 481 574 
90 436 729 
47 730 986 
64 787 855 
252 257 712 
158 273 407 
102 235 379 
407 779 970 
356 836 945 
34 341 926 
545 734 904 
532 819 841 
617 809 908 
2 116 136 
47 96 313 
302 393 561 
60 475 783 
429 594 954 
350 485 759 
43 439 998 
563 811 843 
9 633 995 
288 622 623 
596 830 852 
166 376 408 
773 801 930 
184 197 748 
309 405 608 
111 312 900 
537 645 664 
229 640 696 
412 445 712 
401 460 564 
548 709 980 
52 443 873 
27 422 823 
132 226 554 
506 792 997 
516 829 869 
346 645 678 
158 547 752 
343 742 988 
406 749 796 
330 409 594 
244 658 928 
191 803 915 
227 322 513 
73 139 498 
716 843 915 
283 366 374 
276 489 607 
436 700 725 
71 866 915 
75 244 509 
255 549 740 
