the 0th hypergraph
278 550 593 911 
227 711 889 959 
283 372 639 791 
188 481 619 880 
65 242 528 634 
284 646 675 830 
24 420 483 907 
72 139 341 375 
72 509 623 930 
80 261 627 778 
578 851 855 856 
30 121 128 167 
232 242 267 978 
94 197 237 580 
79 165 341 883 
360 382 575 964 
353 462 880 958 
16 278 648 771 
75 348 379 386 
413 631 856 936 
55 291 326 572 
536 572 660 917 
267 704 820 899 
299 413 689 848 
381 669 848 950 
755 915 951 999 
332 487 588 646 
279 536 628 791 
125 168 697 718 
451 550 613 876 
209 349 384 986 
264 424 764 923 
18 113 216 502 
145 413 782 959 
115 353 527 538 
627 660 851 882 
216 263 940 982 
587 628 707 937 
66 422 696 754 
34 259 708 758 
128 345 398 482 
555 562 634 919 
767 784 814 893 
56 519 570 711 
99 288 355 983 
166 577 690 753 
24 243 340 842 
370 392 521 862 
198 199 512 782 
31 207 264 591 
192 410 633 967 
294 304 556 641 
200 217 226 937 
99 234 322 687 
15 236 434 969 
85 426 509 607 
151 214 425 448 
89 526 649 725 
354 611 843 917 
219 374 759 980 
59 147 384 686 
138 527 528 927 
51 542 968 983 
43 246 421 771 
99 168 208 929 
17 31 370 825 
688 770 903 999 
625 876 897 898 
39 492 618 914 
44 58 221 834 
157 195 300 514 
543 603 879 989 
320 589 759 815 
266 447 841 925 
658 877 903 957 
29 265 442 563 
263 334 411 580 
200 477 791 806 
454 478 742 966 
807 823 851 890 
55 217 365 574 
64 456 581 609 
188 590 689 831 
70 370 624 684 
74 291 437 592 
367 747 811 896 
312 313 816 861 
224 293 622 677 
51 436 510 782 
177 220 499 673 
72 313 328 362 
84 379 593 814 
376 611 646 867 
13 47 217 743 
344 660 855 945 
34 76 163 187 
366 418 619 882 
305 345 404 825 
155 311 772 792 
387 542 624 714 
54 799 815 911 
144 428 517 969 
22 124 386 643 
91 378 588 781 
376 580 934 986 
320 392 650 985 
386 686 765 799 
138 281 878 939 
315 597 603 604 
269 320 429 989 
74 520 644 901 
88 370 825 889 
146 417 877 913 
253 665 832 936 
657 850 894 952 
125 431 680 835 
42 205 760 926 
179 506 561 895 
55 94 143 781 
485 680 764 975 
157 659 856 945 
98 565 774 903 
127 324 638 768 
19 196 666 989 
334 419 426 831 
220 299 422 771 
129 445 638 723 
251 452 768 852 
15 31 269 565 
4 188 588 635 
444 652 747 771 
9 362 602 833 
244 254 535 577 
120 656 717 931 
66 226 230 463 
26 407 802 810 
360 563 688 786 
680 705 716 726 
24 214 349 869 
447 498 538 605 
65 356 387 970 
270 349 674 720 
651 664 747 956 
8 79 835 871 
239 424 693 827 
410 509 840 951 
404 546 574 727 
664 874 925 973 
386 389 832 938 
88 265 443 823 
4 241 339 340 
405 576 577 637 
473 613 869 936 
217 336 465 842 
183 373 526 702 
156 399 655 971 
81 300 504 734 
365 509 880 901 
40 473 586 991 
136 216 290 625 
275 608 780 872 
99 142 272 568 
164 318 901 956 
683 684 884 994 
79 84 611 623 
137 342 391 632 
349 412 625 884 
22 195 230 816 
19 499 660 685 
36 135 318 712 
467 616 925 975 
143 212 452 679 
462 558 609 862 
126 747 932 995 
716 718 876 892 
268 777 790 987 
8 358 871 894 
280 383 469 530 
63 725 730 909 
257 449 915 999 
200 395 674 852 
37 157 910 995 
6 99 340 731 
46 209 261 411 
184 353 565 920 
215 258 488 884 
437 844 880 927 
50 71 96 982 
135 261 273 354 
121 393 509 811 
361 596 695 833 
44 243 499 709 
401 402 809 958 
137 256 597 764 
233 525 681 780 
27 298 326 687 
323 452 884 963 
532 686 742 800 
136 477 528 883 
129 371 392 988 
46 306 437 774 
119 221 537 805 
314 598 713 976 
149 811 929 990 
373 471 766 828 
55 535 580 861 
37 108 482 734 
22 192 710 789 
225 450 728 752 
87 434 613 962 
152 265 645 675 
680 884 942 982 
303 480 625 730 
370 399 681 905 
26 567 691 877 
367 462 935 937 
212 316 794 922 
70 111 338 693 
279 441 653 965 
60 244 319 379 
198 301 582 676 
110 206 878 895 
85 122 197 879 
84 333 541 875 
376 439 692 964 
100 399 470 938 
211 230 300 663 
295 336 634 722 
497 702 765 851 
77 378 482 859 
116 353 876 965 
197 606 872 969 
335 461 479 830 
201 252 706 979 
448 629 656 896 
115 158 638 976 
210 229 268 564 
252 769 821 978 
260 512 679 925 
18 514 707 794 
20 291 524 559 
317 544 586 956 
82 358 522 976 
20 206 933 995 
417 542 619 712 
558 623 712 992 
40 70 496 754 
64 85 136 332 
221 447 529 680 
43 409 795 812 
86 373 574 662 
72 208 521 531 
117 249 383 858 
365 385 691 786 
35 157 194 475 
219 661 682 974 
135 614 620 632 
85 182 186 834 
338 700 745 835 
80 87 242 548 
194 224 656 781 
127 134 375 700 
455 468 800 833 
43 124 614 880 
217 386 393 856 
329 387 554 969 
19 163 570 923 
105 395 450 916 
30 376 439 507 
268 420 421 772 
135 641 933 990 
192 420 528 777 
37 587 849 855 
6 166 274 750 
98 109 436 715 
132 322 387 454 
13 20 126 962 
151 224 287 828 
3 387 504 729 
212 337 506 522 
157 293 399 411 
171 595 955 997 
5 318 809 892 
377 674 728 944 
86 275 672 994 
272 523 632 843 
252 351 643 679 
5 440 637 651 
125 227 822 843 
120 329 726 733 
493 624 798 804 
246 507 636 893 
373 537 658 831 
336 479 537 898 
215 399 652 999 
12 16 105 218 
113 122 238 590 
203 270 508 545 
236 444 509 796 
506 533 674 864 
15 70 227 770 
110 208 368 502 
356 562 774 936 
210 829 872 905 
78 743 819 937 
231 659 888 953 
224 383 537 874 
27 143 294 320 
533 574 726 779 
233 240 556 782 
55 375 988 995 
67 608 661 709 
239 242 518 993 
77 94 141 176 
223 520 621 842 
310 606 786 927 
54 140 445 664 
480 532 815 840 
18 88 194 325 
193 267 548 847 
67 103 191 534 
211 254 570 634 
222 640 857 869 
357 587 737 841 
417 571 816 993 
92 700 701 850 
48 83 419 705 
114 422 950 967 
109 394 730 888 
202 517 629 914 
139 307 402 523 
59 166 400 534 
279 292 310 406 
188 238 290 418 
157 493 742 935 
173 317 496 913 
414 569 864 929 
366 415 647 758 
419 442 657 765 
0 97 372 580 
66 444 613 937 
363 498 536 709 
7 103 404 410 
0 95 252 975 
230 803 843 942 
134 181 270 727 
652 841 939 944 
186 299 331 361 
364 594 781 844 
81 296 534 799 
372 586 820 988 
237 248 504 656 
253 419 563 965 
423 490 538 681 
135 378 665 766 
550 688 776 925 
27 622 687 753 
122 611 752 892 
282 402 621 757 
273 539 752 932 
68 232 311 883 
67 351 368 754 
27 483 568 721 
12 704 767 998 
122 630 852 957 
18 514 711 781 
143 436 612 769 
708 768 941 946 
263 558 876 918 
207 311 525 828 
103 259 603 980 
298 538 806 910 
226 305 466 708 
69 613 768 844 
139 302 548 689 
165 455 484 784 
35 309 598 918 
568 622 804 810 
259 274 486 691 
119 350 428 504 
84 282 542 821 
496 786 811 862 
167 259 727 983 
695 893 904 939 
84 106 344 778 
254 261 265 775 
161 249 487 694 
150 701 896 913 
148 198 338 598 
240 242 398 419 
121 610 734 903 
1 316 669 814 
332 425 532 825 
225 498 551 823 
177 309 673 721 
226 652 839 940 
349 529 694 860 
273 301 351 747 
50 61 201 503 
241 358 467 673 
447 548 648 960 
61 376 768 778 
198 760 892 914 
88 235 493 753 
55 234 550 680 
62 75 310 865 
456 790 875 885 
500 600 795 957 
96 134 359 586 
335 516 657 863 
252 306 573 624 
122 538 597 649 
160 301 302 513 
700 779 817 891 
303 563 580 732 
273 630 719 798 
166 180 389 685 
4 237 438 655 
442 522 711 747 
113 311 473 878 
128 207 276 746 
460 601 609 753 
167 501 539 833 
199 310 594 702 
89 104 716 895 
735 752 807 952 
160 173 219 614 
116 139 806 969 
140 744 859 963 
153 181 199 476 
403 806 968 980 
125 403 737 813 
152 353 702 792 
70 621 693 920 
466 700 909 988 
209 344 506 563 
158 354 435 627 
206 560 952 957 
203 376 377 432 
170 389 391 746 
581 603 774 927 
434 472 661 904 
237 663 770 898 
16 317 759 969 
192 539 611 828 
595 748 867 926 
128 474 602 806 
338 576 736 821 
45 751 957 974 
24 65 163 684 
229 571 640 871 
65 387 457 661 
38 58 439 994 
564 709 727 987 
472 474 870 906 
69 512 565 773 
510 712 764 983 
128 470 913 958 
134 280 647 698 
116 189 506 627 
198 415 615 708 
60 178 608 906 
22 73 469 906 
69 551 576 964 
13 207 971 997 
137 251 370 936 
112 145 178 280 
251 611 744 940 
265 321 827 847 
104 262 402 758 
169 178 730 929 
137 416 827 993 
110 237 393 675 
280 327 861 968 
116 414 490 552 
23 53 325 429 
379 596 629 889 
134 248 773 904 
36 90 102 522 
191 692 712 917 
226 322 432 489 
363 490 582 599 
129 482 724 870 
164 190 317 688 
104 372 510 946 
45 492 745 892 
225 283 721 992 
126 172 681 835 
719 842 934 959 
609 734 791 948 
135 274 296 763 
290 344 884 962 
208 345 511 679 
44 553 777 918 
245 625 704 886 
175 268 340 521 
109 472 806 958 
592 621 856 962 
471 502 763 897 
237 321 438 911 
58 306 390 827 
33 57 613 712 
71 238 622 673 
361 364 573 677 
199 220 236 981 
110 576 629 934 
6 184 230 526 
347 367 548 961 
269 279 682 875 
28 178 868 976 
493 580 948 991 
102 136 396 603 
34 170 304 777 
0 332 617 724 
463 497 699 865 
77 293 441 684 
11 522 798 851 
713 728 920 984 
1 143 169 338 
436 620 663 893 
171 276 693 793 
39 73 720 782 
431 480 896 910 
50 184 762 919 
22 275 572 857 
53 285 778 940 
101 483 960 984 
150 238 314 433 
205 267 327 696 
541 567 606 711 
355 418 480 509 
191 359 536 844 
250 388 567 651 
207 370 483 908 
336 365 449 539 
194 257 734 877 
583 714 830 996 
126 151 254 534 
134 314 537 808 
87 228 916 993 
62 87 596 972 
46 80 126 171 
434 684 773 819 
12 138 682 726 
121 284 374 436 
47 190 380 948 
192 365 473 628 
185 584 686 728 
464 520 610 760 
170 271 339 991 
314 582 832 908 
187 399 403 530 
97 470 537 592 
417 421 877 957 
120 245 376 490 
197 612 872 919 
141 246 494 606 
261 498 779 957 
43 212 472 565 
108 343 783 908 
21 309 564 983 
299 334 827 943 
78 704 732 843 
280 603 905 970 
494 637 685 767 
53 70 848 869 
3 442 490 713 
318 382 860 925 
212 602 768 984 
101 499 930 937 
78 101 915 965 
202 516 632 699 
122 184 334 653 
616 623 717 922 
326 710 782 968 
155 588 715 896 
15 39 529 837 
6 452 453 772 
241 644 697 884 
189 302 876 879 
282 420 600 940 
149 440 889 958 
374 659 689 840 
135 178 427 917 
286 428 543 547 
74 447 493 587 
2 75 844 914 
521 659 703 888 
70 126 556 879 
143 186 615 780 
37 163 427 643 
339 381 742 958 
70 488 510 686 
236 259 298 754 
35 55 371 805 
51 164 584 616 
33 178 630 826 
621 632 696 818 
13 350 386 917 
268 363 482 738 
101 404 495 756 
109 567 705 830 
259 385 891 914 
4 56 366 999 
183 289 520 773 
47 506 634 845 
13 118 129 468 
197 212 919 942 
339 457 480 792 
144 219 435 615 
152 193 285 345 
43 571 591 641 
400 650 784 943 
12 240 250 286 
151 181 770 858 
311 321 571 779 
36 211 417 543 
64 196 448 516 
76 483 597 708 
90 105 138 918 
582 694 868 953 
109 155 557 742 
93 266 396 872 
9 95 332 809 
441 461 659 721 
304 710 908 939 
428 580 632 711 
57 201 379 807 
78 423 456 849 
258 455 699 966 
331 434 479 820 
244 538 829 935 
411 619 654 985 
5 34 192 777 
460 610 660 822 
258 426 589 722 
254 302 384 760 
529 698 738 769 
0 78 81 423 
268 603 937 955 
0 148 273 771 
749 796 883 943 
73 222 226 601 
188 430 543 909 
24 221 543 865 
322 336 510 566 
307 406 859 984 
270 390 416 618 
30 150 189 969 
67 116 543 828 
77 175 261 792 
114 218 497 514 
90 273 762 776 
